Week #,# of pos (Total),# of pos (0-4 years),# of pos (5-17 years),# of pos (18-49 years),# of pos(50-64 years),# of pos(65+ years)
10,142,0,7,59,57,18
11,303,1,9,136,86,50
12,963,2,5,344,178,203
13,1722,1,2,272,190,237
14,13091,36,162,5005,3270,2919
15,15402,45,192,5322,3608,3954
16,15155,83,264,5270,3233,4022
17,15388,94,377,5488,3123,4179
18,14193,101,409,5417,2898,3620
19,12406,96,434,4774,2521,3213
20,10759,110,390,4308,2183,2648
21,9284,126,378,3653,1789,2420
22,6233,79,294,2388,1247,1630
23,5357,82,276,2164,942,1297
24,4057,54,140,1586,707,1062
25,2635,35,120,989,442,640
26,2231,34,124,974,374,495
27,2177,29,127,1009,349,325
28,2170,33,163,1056,355,237
29,2043,25,142,984,287,253
30,1733,38,112,887,247,164
31,1820,38,172,887,281,146
32,1893,39,152,1003,286,181
33,1944,52,163,1051,302,145
34,2433,52,176,1199,330,203
35,2219,37,195,1319,332,160
36,2500,50,195,1392,384,170
37,2376,47,195,1225,357,237
38,2719,67,247,1428,466,248
39,3055,64,189,1233,348,295
40,3798,108,369,1917,640,368
41,4653,109,460,2273,764,365
42,5527,126,589,2542,962,488
43,7945,185,750,3803,1362,647
44,9889,220,940,4597,1702,890
45,15178,366,1429,7181,2602,1347
46,21669,477,2038,9858,4017,1896
47,20694,346,1493,6951,2860,1639
