Week #,# of pos (Total),# of pos (0-4 years),# of pos (5-17 years),# of pos (18-49 years),# of pos(50-64 years),# of pos(65+ years)
10,980,10,42,318,249,332
11,3632,20,83,1374,984,948
12,8037,35,86,2645,1826,2091
13,14531,48,80,3810,2924,3798
14,143875,593,2094,65550,41133,28240
15,137604,643,2404,61164,38318,27954
16,120445,663,2639,53939,31446,24502
17,127145,728,3411,58020,30680,25530
18,124698,949,4268,57779,28087,23604
19,113324,1040,4531,53259,24125,20703
20,108800,1270,5042,51444,22015,18914
21,111317,1441,5613,54363,21674,17817
22,98780,1266,5478,49060,18781,14829
23,106938,1578,6254,56705,18570,13755
24,130762,2031,8042,75061,21459,13382
25,192777,2973,11772,118141,29304,15759
26,271924,4026,17076,165379,42199,20984
27,276445,3757,17020,163187,45522,21958
28,308315,4444,20023,177897,53774,28509
29,277404,4046,18967,154262,49426,27144
30,235587,3570,15788,125162,43352,24962
31,192384,2987,13459,98824,34367,20662
32,167690,2670,11699,83730,29832,18749
33,147001,2329,10344,71629,25603,16398
34,131579,2031,9070,64859,21691,14250
35,126304,1877,8700,64803,20137,12159
36,121441,1679,7730,63112,18146,11358
37,107917,1292,7055,53906,16506,10315
38,124933,1537,9009,58861,18809,12363
39,134359,1478,8233,51704,17413,11369
40,136913,1665,9697,60442,21911,14262
41,163744,1942,11747,71951,26800,17667
42,185514,2305,13481,82195,31162,19797
43,216841,2706,16647,100020,38540,24277
44,270043,3227,20298,121253,46962,28263
45,378586,4776,30614,176955,64384,37643
46,461548,6030,38801,212996,81420,48677
47,399565,5443,31539,167584,67000,41923
