# Weeks,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
6,0,58791,0.99,3813,0,480,4293
7,1,59353,0.99,3808,0,521,4330
8,0,58769,1,3837,0,560,4397
9,4,58841,1.01,3705,1,566,4274
10,10,59253,1.03,3830,5,656,4491
11,36,59635,1.03,3973,18,634,4624
12,56,58611,1.03,3966,28,626,4619
13,573,59145,1.04,4542,250,558,5416
14,3170,62933,1.13,6176,1433,443,8306
15,10043,72227,1.29,9923,4763,478,15446
16,16205,78972,1.42,12000,7233,473,21106
17,17089,76656,1.42,11394,7311,265,21248
18,15457,73785,1.37,10374,6605,144,19273
19,13164,69203,1.29,8943,5515,65,16637
20,11185,66724,1.27,7831,4709,48,14345
21,9179,64378,1.23,6768,3778,21,12187
22,7194,61520,1.18,5889,2971,24,10131
23,6133,59565,1.15,5270,2484,12,8931
24,5010,58782,1.12,4885,2141,11,7765
25,4208,57910,1.12,4533,1859,11,6890
26,3816,57844,1.12,4360,1603,8,6580
27,3798,58356,1.13,4252,1549,11,6511
28,4495,59672,1.15,4548,1992,5,7053
29,5736,61731,1.2,5518,2704,10,8559
30,7126,62954,1.23,6168,3439,13,9865
31,8154,64002,1.26,6726,3943,10,10942
32,8228,63961,1.26,6803,4043,13,10994
33,7785,63363,1.24,6768,3957,9,10602
34,7171,63171,1.25,6467,3654,5,9986
35,6278,61906,1.23,5906,3178,12,9015
36,5612,60178,1.18,5467,2845,11,8240
37,4809,58685,1.15,5054,2420,9,7448
38,4377,57406,1.11,4768,2197,7,6953
39,3996,56993,1.1,4513,1927,5,6587
40,4014,57850,1.11,4676,1983,3,6709
41,3930,56747,1.08,4508,1876,8,6570
42,4445,58144,1.11,4799,2184,12,7069
43,4731,56458,1.06,4805,2249,16,7296
44,5379,57107,1.06,5108,2466,16,8030
45,5927,56295,1.04,5264,2753,17,8451
46,6632,55408,1.02,5534,3082,21,9097
47,6040,48153,0.87,4881,2789,11,8139
48,2959,27883,0.5,2597,1370,7,4193
49,199,3492,0.06,279,95,1,384
