State,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
Alabama,0,1025,0.94,56,0,14,70
Alabama,0,1117,1.01,61,0,10,71
Alabama,0,1094,1.01,76,0,0,82
Alabama,0,1097,1.01,68,0,0,73
Alabama,0,1161,1.12,63,0,14,77
Alabama,0,1053,1.01,58,0,13,71
Alabama,0,1090,1.01,61,0,0,68
Alabama,0,1057,1.03,71,0,0,79
Alabama,23,1072,1.05,68,0,0,92
Alabama,49,1153,1.12,65,11,0,106
Alabama,81,1133,1.11,85,27,0,143
Alabama,89,1141,1.16,94,26,0,157
Alabama,83,1137,1.13,77,19,0,142
Alabama,81,1147,1.16,87,26,0,143
Alabama,116,1168,1.16,94,34,0,176
Alabama,94,1146,1.15,89,30,0,154
Alabama,79,1150,1.17,82,23,0,138
Alabama,103,1105,1.13,95,30,0,169
Alabama,90,1166,1.16,86,32,0,145
Alabama,81,1134,1.2,76,29,0,128
Alabama,88,1084,1.11,78,25,0,141
Alabama,102,1148,1.23,83,30,0,155
Alabama,120,1196,1.21,93,47,0,166
Alabama,133,1252,1.26,95,36,0,192
Alabama,191,1284,1.34,102,45,0,248
Alabama,247,1325,1.42,133,87,0,293
Alabama,261,1355,1.4,157,94,0,325
Alabama,261,1363,1.41,133,86,0,309
Alabama,228,1293,1.36,140,83,0,285
Alabama,207,1288,1.38,117,64,0,260
Alabama,181,1200,1.26,129,70,0,240
Alabama,153,1201,1.24,110,58,0,205
Alabama,136,1220,1.27,108,49,0,195
Alabama,136,1167,1.22,96,45,0,187
Alabama,103,1161,1.17,76,30,0,149
Alabama,107,1077,1.13,90,36,0,161
Alabama,132,1162,1.23,102,49,0,186
Alabama,118,1135,1.16,85,40,0,163
Alabama,111,1076,1.11,97,34,0,175
Alabama,117,1036,1.09,95,41,0,171
Alabama,124,1015,1.02,88,42,0,170
Alabama,107,880,0.85,86,41,0,152
Alabama,35,457,0.45,29,0,0,56
Alabama,,43,0.04,0,0,0,10
Alaska,0,85,0.95,0,0,0,
Alaska,0,92,1.23,,0,0,
Alaska,0,89,1.02,0,0,0,0
Alaska,0,83,1.02,,0,0,
Alaska,0,84,1,,0,0,
Alaska,0,79,0.92,,0,0,
Alaska,0,92,1.09,,0,0,
Alaska,0,69,0.87,,0,0,
Alaska,,85,0.99,10,0,0,11
Alaska,,98,1.13,,0,0,
Alaska,,83,0.96,,0,0,
Alaska,,80,1.03,,0,0,
Alaska,0,61,0.78,,0,0,
Alaska,0,87,0.98,,0,0,
Alaska,,89,1.14,,0,0,
Alaska,0,83,1.08,,0,0,
Alaska,0,82,1.06,,0,0,
Alaska,0,97,1.34,,0,0,
Alaska,0,78,0.92,,0,0,
Alaska,,88,1.07,,,0,
Alaska,0,92,1.08,,0,0,
Alaska,0,88,1.14,,0,0,
Alaska,,84,1,,0,0,
Alaska,,100,1.13,,,0,
Alaska,,88,1.17,,,0,
Alaska,,92,1.28,,,0,
Alaska,,112,1.48,,,0,
Alaska,,100,1.27,,,0,
Alaska,,74,0.82,,,0,
